,id,name,popularity,URI,artist id,artist name,artist image URL,album id,album name,full_name,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,modality,speechiness,tempo,valence,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Cluster
0,6pD0ufEQq0xdHSsRbg9LBK,un x100to,100,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,"['6XkjpgcEsYab502Vr1bBeW', '4q3ewBCX7sLwd24euuV69X']","['Grupo Frontera', 'Bad Bunny']",https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,7aGzSSUD8S6IhPCsZSiuMT,un x100to,"un x100to, by : Grupo Frontera, Bad Bunny",0.228,0.569,194563,0.724,0.0,6,0.27,-4.076,0,0.0474,83.118,0.562,-0.6976656256833392,-0.02094278704025554,0.6000926300050418,-1.0243195532677232,-1.7092260553545047,-0.14166504951596348,0.1443777926301486,-0.864965067644585,4
1,3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,99,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,"['0XeEobZplHxzM9QzFQWLiR', '12GqGscKJx3aE4t07u7eVZ']","['Eslabon Armado', 'Peso Pluma']",https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,3Mm1P5CEEAiuJqBclr2EyU,Ella Baila Sola,"Ella Baila Sola, by : Eslabon Armado, Peso Pluma",0.483,0.668,165671,0.758,1.89e-05,5,0.0837,-5.176,0,0.0332,147.989,0.834,-0.8002259187802107,1.2390839662785051,-0.6924177412939572,0.14139614193219574,-0.48478089189755313,-1.5477977516230224,0.7046663389453174,-1.9033614730895427,4
2,2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,99,spotify:track:2UW7JaomAMuX9pZrjVpHAU,"['1NNRWkhwmcXRimFYSBpB1y', '12GqGscKJx3aE4t07u7eVZ']","['Yng Lvcas', 'Peso Pluma']",https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,6aBVGuOUEuX18rHxyDWbti,La Bebe (Remix),"La Bebe - Remix, by : Yng Lvcas, Peso Pluma",0.213,0.812,234353,0.479,1.21e-06,2,0.0756,-5.678,0,0.333,169.922,0.559,0.14136205769207705,1.7692902429962356,-0.8497999096795832,0.5185208601119349,1.9154989569882772,-0.6524715735905992,-0.8855949233010445,-0.24572389880959886,2
3,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,98,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,['4GJ6xDCF5jaUqD6avOuQT6'],['FIFTY FIFTY'],https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,5letLUZIFsQikJYShfGNs4,The Beginning: Cupid,"Cupid - Twin Ver., by : FIFTY FIFTY",0.435,0.783,174253,0.592,4.15e-06,11,0.347,-8.332,0,0.0331,120.018,0.726,0.15124204994299922,1.519906074301283,1.180789080760397,-1.1380005015248296,-1.360285486994508,-1.39758659631774,0.02664582397183335,-0.8659417866085415,4
4,1odExI7RdWc4BT515LTAwj,Daylight,97,spotify:track:1odExI7RdWc4BT515LTAwj,['33NVpKoXjItPwUJTMZIOiY'],['David Kushner'],https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,6NcI39WPu4kY6Tul11nhSv,Daylight,"Daylight, by : David Kushner",0.83,0.508,212954,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,0.324,2.9479150648822037,0.08130300899040688,-0.4722326915594269,-0.20200686090295572,-0.22507451350961027,-0.7897816911812962,0.44289726150578607,-2.0127594996830562,3
5,0yLdNVWF3Srea0uzk55zFn,Flowers,97,spotify:track:0yLdNVWF3Srea0uzk55zFn,['5YGY8feqx7naU7z4HrwZM6'],['Miley Cyrus'],https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,7I0tjwFtxUwBC1vgyeMAax,Flowers,"Flowers, by : Miley Cyrus",0.0632,0.707,200455,0.681,5.15e-06,0,0.0322,-4.325,1,0.0668,117.999,0.646,-0.7177648791019431,0.4964081890778762,-2.033279221447513,0.9196097248398016,-0.8294698260383884,0.08797346298712899,0.19842289898567117,-0.023314282726082575,4
6,0DWdj2oZMBFSzRsi2Cvfzf,TQG,96,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,"['790FomKkXshlbRYZFtlgla', '0EmeFodog0BfCgMzAIvKQp']","['KAROL G', 'Shakira']",https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,4kS7bSuU0Jm9LYMosFU2x5,MAÑANA SERÁ BONITO,"TQG, by : KAROL G, Shakira",0.673,0.72,199440,0.63,0.0,4,0.0936,-3.547,0,0.277,179.974,0.607,-0.126532441715779,1.798112686733722,-0.5147061232037502,0.6113377987975965,1.3161182894835637,-1.110667781170493,0.07027808824050163,-1.1005407317981244,2
7,6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,96,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,"['2LRoIwlKmHjgvigdNGBHNo', '3qsKSpcV3ncke3hw52JSMB']","['Feid', 'Young Miko']",https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,4jtQUtS4ABgER3DnGfKJCv,Classy 101,"Classy 101, by : Feid, Young Miko",0.145,0.859,195987,0.658,0.0,11,0.12,-4.79,1,0.159,100.065,0.672,-0.8766264829973494,1.5145628127662358,-0.48329060338917335,-0.5233597692912937,-1.2479819182870475,-1.2049043536278385,-0.24973733610286475,1.7627684284953138,4
8,609E1JCInJncactoMmkDon,BESO,96,spotify:track:609E1JCInJncactoMmkDon,"['7ltDVBr6mKbRvohxheJ9h1', '1mcTU81TzQhprhouKaTkpq']","['ROSALÍA', 'Rauw Alejandro']",https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,50uChhk7AKkzDKytDixjYW,RR,"BESO, by : ROSALÍA, Rauw Alejandro",0.736,0.768,194543,0.644,0.000837,5,0.173,-6.671,0,0.136,95.05,0.53,0.7784067519836902,1.598744654364773,-0.11735569250823558,-1.398643806131259,-0.6750533593518305,-0.3495753869282754,0.5950195347343421,-0.7737361730493698,4
9,2mpoNBkngUEwnaKoBhZ0vl,PRC,95,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,"['12GqGscKJx3aE4t07u7eVZ', '0elWFr7TW8piilVRYJUe4P']","['Peso Pluma', 'Natanael Cano']",https://i.scdn.co/image/ab6761610000e5eb31f6ab67e6025de876475814,2OXBosbXT7Qs3J6vBd6IkI,PRC,"PRC, by : Peso Pluma, Natanael Cano",0.0965,0.784,184066,0.826,7.09e-05,7,0.123,-6.34,0,0.0538,138.078,0.893,-1.6791809709574341,1.2753520777053395,-0.3644565709781885,-0.206588533334,-0.4194057751597593,-1.5804579066933608,0.174509199422908,-0.9513627227883458,4
